close,open,Thigh,low,volumn,datetime
97.1,96.8,97.3,96.8,114700,2021-11-05 03:57:00+00:00
97.4,97.3,97.8,97.3,72600,2021-11-05 03:58:00+00:00
97.4,97.3,97.4,97.2,23300,2021-11-05 03:59:00+00:00
97.1,97.1,97.2,97.1,18600,2021-11-05 04:00:00+00:00
97.1,97.1,97.1,97.0,11400,2021-11-05 04:01:00+00:00
97.1,97.1,97.1,97.0,7100,2021-11-05 04:02:00+00:00
97.0,97.0,97.1,97.0,24400,2021-11-05 04:03:00+00:00
96.9,97.0,97.0,96.8,15000,2021-11-05 04:04:00+00:00
97.0,96.9,97.0,96.9,4300,2021-11-05 04:05:00+00:00
96.9,97.0,97.0,96.8,3400,2021-11-05 04:06:00+00:00
97.0,96.9,97.1,96.9,25900,2021-11-05 04:07:00+00:00
97.0,97.1,97.2,97.0,21200,2021-11-05 04:08:00+00:00
97.0,97.0,97.0,97.0,10900,2021-11-05 04:09:00+00:00
97.1,97.0,97.1,97.0,4900,2021-11-05 04:10:00+00:00
97.0,97.0,97.1,97.0,2800,2021-11-05 04:11:00+00:00
97.0,97.0,97.0,97.0,4400,2021-11-05 04:12:00+00:00
97.0,97.0,97.0,97.0,6600,2021-11-05 04:13:00+00:00
97.0,97.0,97.0,97.0,1400,2021-11-05 04:14:00+00:00
97.0,97.0,97.0,96.9,1300,2021-11-05 04:15:00+00:00
97.0,97.0,97.0,97.0,100,2021-11-05 04:16:00+00:00
97.0,97.0,97.0,97.0,5400,2021-11-05 04:17:00+00:00
97.0,96.9,97.0,96.9,1800,2021-11-05 04:18:00+00:00
97.0,97.0,97.1,97.0,10400,2021-11-05 04:19:00+00:00
97.0,97.0,97.0,97.0,2600,2021-11-05 04:20:00+00:00
97.0,97.1,97.1,97.0,5700,2021-11-05 04:21:00+00:00
97.1,97.0,97.1,97.0,2100,2021-11-05 04:22:00+00:00
97.0,97.0,97.0,97.0,3000,2021-11-05 04:23:00+00:00
97.0,97.0,97.1,97.0,17700,2021-11-05 04:24:00+00:00
97.1,97.0,97.1,97.0,3100,2021-11-05 04:25:00+00:00
97.1,97.1,97.1,97.0,8100,2021-11-05 04:26:00+00:00
97.2,97.1,97.2,97.1,13000,2021-11-05 04:27:00+00:00
97.4,97.1,97.4,97.1,60200,2021-11-05 04:28:00+00:00
97.4,97.4,97.5,97.4,13900,2021-11-05 04:29:00+00:00
97.4,97.4,97.5,97.3,31900,2021-11-05 06:00:00+00:00
97.3,97.4,97.4,97.3,3600,2021-11-05 06:01:00+00:00
97.3,97.4,97.4,97.3,2300,2021-11-05 06:02:00+00:00
97.3,97.3,97.3,97.3,1400,2021-11-05 06:03:00+00:00
97.3,97.4,97.4,97.3,16100,2021-11-05 06:04:00+00:00
97.4,97.4,97.4,97.3,23600,2021-11-05 06:05:00+00:00
97.4,97.4,97.4,97.4,9400,2021-11-05 06:06:00+00:00
97.4,97.4,97.4,97.3,1500,2021-11-05 06:07:00+00:00
97.3,97.4,97.4,97.2,3800,2021-11-05 06:08:00+00:00
97.3,97.3,97.3,97.3,2800,2021-11-05 06:09:00+00:00
97.2,97.3,97.3,97.2,4600,2021-11-05 06:10:00+00:00
97.3,97.2,97.3,97.2,5400,2021-11-05 06:11:00+00:00
97.2,97.2,97.3,97.2,1900,2021-11-05 06:12:00+00:00
97.2,97.2,97.2,97.2,2500,2021-11-05 06:13:00+00:00
97.3,97.2,97.3,97.2,5600,2021-11-05 06:14:00+00:00
97.2,97.3,97.3,97.2,8100,2021-11-05 06:15:00+00:00
97.3,97.2,97.3,97.2,3800,2021-11-05 06:16:00+00:00
97.1,97.2,97.3,97.1,8300,2021-11-05 06:17:00+00:00
97.0,97.2,97.2,97.0,23300,2021-11-05 06:18:00+00:00
97.0,97.0,97.0,97.0,1800,2021-11-05 06:19:00+00:00
97.0,97.0,97.0,96.9,1600,2021-11-05 06:20:00+00:00
97.0,97.0,97.0,97.0,2400,2021-11-05 06:21:00+00:00
97.0,97.0,97.0,97.0,1600,2021-11-05 06:22:00+00:00
97.1,97.0,97.1,97.0,3200,2021-11-05 06:23:00+00:00
97.0,97.1,97.1,97.0,1200,2021-11-05 06:24:00+00:00
97.0,97.0,97.0,96.9,700,2021-11-05 06:25:00+00:00
97.1,97.0,97.1,97.0,7100,2021-11-05 06:26:00+00:00
97.1,97.1,97.1,97.0,22900,2021-11-05 06:27:00+00:00
97.0,97.0,97.0,97.0,8600,2021-11-05 06:28:00+00:00
97.0,97.0,97.1,97.0,16100,2021-11-05 06:29:00+00:00
97.0,97.0,97.1,97.0,3700,2021-11-05 06:30:00+00:00
97.0,97.0,97.0,97.0,700,2021-11-05 06:31:00+00:00
97.0,97.0,97.0,97.0,2100,2021-11-05 06:32:00+00:00
97.0,97.0,97.0,97.0,1600,2021-11-05 06:33:00+00:00
97.0,97.0,97.0,97.0,5600,2021-11-05 06:34:00+00:00
97.0,97.0,97.0,97.0,600,2021-11-05 06:35:00+00:00
97.0,97.0,97.0,97.0,700,2021-11-05 06:36:00+00:00
97.0,97.0,97.0,97.0,1600,2021-11-05 06:37:00+00:00
97.0,97.0,97.0,97.0,3100,2021-11-05 06:38:00+00:00
97.0,97.0,97.0,97.0,9300,2021-11-05 06:39:00+00:00
96.9,96.9,96.9,96.9,10000,2021-11-05 06:40:00+00:00
96.9,96.9,96.9,96.9,3500,2021-11-05 06:41:00+00:00
97.0,97.0,97.0,96.9,1200,2021-11-05 06:43:00+00:00
97.0,97.0,97.0,97.0,2100,2021-11-05 06:44:00+00:00
96.9,97.0,97.0,96.9,7300,2021-11-05 06:45:00+00:00
97.0,97.0,97.1,97.0,18300,2021-11-05 06:46:00+00:00
97.0,97.0,97.1,97.0,6400,2021-11-05 06:47:00+00:00
97.0,97.0,97.0,97.0,2500,2021-11-05 06:48:00+00:00
97.0,97.0,97.0,97.0,2200,2021-11-05 06:49:00+00:00
97.0,97.0,97.0,97.0,4600,2021-11-05 06:50:00+00:00
97.0,97.0,97.1,96.9,3600,2021-11-05 06:51:00+00:00
97.1,97.1,97.1,97.0,5700,2021-11-05 06:52:00+00:00
97.0,97.1,97.1,97.0,2600,2021-11-05 06:53:00+00:00
97.0,97.0,97.1,97.0,6800,2021-11-05 06:54:00+00:00
97.0,97.0,97.0,97.0,6700,2021-11-05 06:55:00+00:00
97.0,97.0,97.0,97.0,4700,2021-11-05 06:56:00+00:00
97.1,97.0,97.1,97.0,4400,2021-11-05 06:57:00+00:00
97.1,97.1,97.1,97.0,2900,2021-11-05 06:58:00+00:00
97.1,97.1,97.1,97.0,8000,2021-11-05 06:59:00+00:00
97.0,97.1,97.1,97.0,8800,2021-11-05 07:00:00+00:00
97.1,97.1,97.2,97.0,11900,2021-11-05 07:01:00+00:00
97.2,97.1,97.3,97.1,28500,2021-11-05 07:02:00+00:00
97.3,97.3,97.4,97.3,18900,2021-11-05 07:03:00+00:00
97.0,97.3,97.4,97.0,16400,2021-11-05 07:04:00+00:00
97.1,97.4,97.4,97.1,900,2021-11-05 07:05:00+00:00
97.0,97.1,97.2,97.0,15800,2021-11-05 07:06:00+00:00
97.3,97.0,97.3,97.0,7800,2021-11-05 07:07:00+00:00
97.1,97.0,97.3,97.0,14900,2021-11-05 07:08:00+00:00
97.3,97.3,97.3,97.1,8000,2021-11-05 07:09:00+00:00
97.0,97.3,97.3,97.0,14600,2021-11-05 07:10:00+00:00
97.2,97.0,97.3,97.0,18900,2021-11-05 07:11:00+00:00
97.0,97.0,97.2,97.0,5100,2021-11-05 07:12:00+00:00
97.2,97.1,97.2,97.1,9100,2021-11-05 07:13:00+00:00
97.2,97.3,97.3,97.2,11900,2021-11-05 07:14:00+00:00
97.3,97.2,97.3,97.1,10600,2021-11-05 07:15:00+00:00
97.3,97.3,97.3,97.0,21000,2021-11-05 07:16:00+00:00
97.2,97.2,97.3,97.1,12200,2021-11-05 07:17:00+00:00
97.2,97.3,97.4,97.2,10800,2021-11-05 07:18:00+00:00
97.2,97.2,97.4,97.2,19000,2021-11-05 07:19:00+00:00
97.4,97.3,97.4,97.2,7400,2021-11-05 07:20:00+00:00
97.2,97.4,97.4,97.2,9000,2021-11-05 07:21:00+00:00
97.4,97.4,97.4,97.3,61900,2021-11-05 07:22:00+00:00
97.5,97.4,97.5,97.3,49700,2021-11-05 07:23:00+00:00
97.4,97.4,97.5,97.4,39100,2021-11-05 07:24:00+00:00
97.5,97.4,97.5,97.4,56300,2021-11-05 07:25:00+00:00
97.5,97.5,97.6,97.5,20500,2021-11-05 07:26:00+00:00
97.5,97.5,97.6,97.5,16200,2021-11-05 07:27:00+00:00
97.6,97.5,97.7,97.5,43300,2021-11-05 07:28:00+00:00
97.7,97.6,97.7,97.6,25200,2021-11-05 07:29:00+00:00
97.7,97.7,97.7,97.7,1300,2021-11-05 07:30:00+00:00
97.6,97.6,97.6,97.6,71100,2021-11-05 07:45:00+00:00
77.54262,77.46004,77.54262,77.46004,3700,2021-12-31 02:15:00+00:00
77.6252,77.6252,77.6252,77.6252,4300,2021-12-31 02:16:00+00:00
77.95552,77.95552,77.95552,77.95552,100,2021-12-31 02:17:00+00:00
77.95552,77.70778,77.95552,77.70778,600,2021-12-31 02:18:00+00:00
77.70778,77.79036,77.79036,77.70778,600,2021-12-31 02:19:00+00:00
77.79036,77.70778,77.79036,77.70778,1700,2021-12-31 02:20:00+00:00
77.79036,77.79036,77.79036,77.79036,200,2021-12-31 02:21:00+00:00
77.70778,77.79036,77.79036,77.70778,2700,2021-12-31 02:22:00+00:00
77.70778,77.70778,77.70778,77.6252,900,2021-12-31 02:23:00+00:00
77.70778,77.6252,77.70778,77.6252,600,2021-12-31 02:24:00+00:00
77.79036,77.70778,77.79036,77.70778,1000,2021-12-31 02:25:00+00:00
77.70778,77.70778,77.70778,77.70778,2100,2021-12-31 02:27:00+00:00
77.6252,77.6252,77.6252,77.6252,6400,2021-12-31 02:28:00+00:00
77.54262,77.6252,77.6252,77.54262,2400,2021-12-31 02:29:00+00:00
77.6252,77.54262,77.6252,77.54262,4400,2021-12-31 02:30:00+00:00
77.6252,77.6252,77.6252,77.6252,1700,2021-12-31 02:31:00+00:00
77.6252,77.6252,77.6252,77.6252,8200,2021-12-31 02:32:00+00:00
77.6252,77.6252,77.6252,77.6252,1000,2021-12-31 02:33:00+00:00
77.6252,77.6252,77.6252,77.6252,2200,2021-12-31 02:34:00+00:00
77.6252,77.6252,77.70778,77.6252,7900,2021-12-31 02:35:00+00:00
77.6252,77.70778,77.70778,77.6252,3800,2021-12-31 02:36:00+00:00
77.6252,77.6252,77.6252,77.6252,9100,2021-12-31 02:37:00+00:00
77.70778,77.70778,77.70778,77.70778,200,2021-12-31 02:38:00+00:00
77.70778,77.6252,77.70778,77.6252,3400,2021-12-31 02:39:00+00:00
77.6252,77.70778,77.70778,77.6252,9600,2021-12-31 02:40:00+00:00
77.6252,77.6252,77.6252,77.6252,25500,2021-12-31 02:41:00+00:00
77.6252,77.6252,77.6252,77.6252,20400,2021-12-31 02:42:00+00:00
77.70778,77.6252,77.70778,77.6252,1600,2021-12-31 02:43:00+00:00
77.6252,77.6252,77.6252,77.54262,12500,2021-12-31 02:44:00+00:00
77.6252,77.54262,77.6252,77.54262,3200,2021-12-31 02:45:00+00:00
77.6252,77.54262,77.6252,77.54262,33800,2021-12-31 02:46:00+00:00
77.54262,77.6252,77.6252,77.54262,4900,2021-12-31 02:47:00+00:00
77.54262,77.54262,77.54262,77.54262,500,2021-12-31 02:48:00+00:00
77.6252,77.54262,77.6252,77.54262,12100,2021-12-31 02:49:00+00:00
77.6252,77.6252,77.6252,77.6252,100,2021-12-31 02:52:00+00:00
77.54262,77.54262,77.54262,77.54262,1000,2021-12-31 02:54:00+00:00
77.54262,77.54262,77.54262,77.54262,1300,2021-12-31 02:55:00+00:00
77.6252,77.54262,77.6252,77.54262,600,2021-12-31 02:56:00+00:00
77.54262,77.54262,77.6252,77.54262,500,2021-12-31 02:57:00+00:00
77.54262,77.54262,77.54262,77.54262,800,2021-12-31 02:58:00+00:00
77.54262,77.54262,77.54262,77.54262,100,2021-12-31 02:59:00+00:00
77.6252,77.6252,77.6252,77.6252,1000,2021-12-31 03:00:00+00:00
77.54262,77.6252,77.6252,77.54262,2600,2021-12-31 03:01:00+00:00
77.54262,77.54262,77.54262,77.54262,100,2021-12-31 03:02:00+00:00
77.54262,77.54262,77.54262,77.54262,100,2021-12-31 03:03:00+00:00
